age,steps_per_day,exercise_hours,water_liters,fitness_score
50.0,13190.0,11.1,1.2,65.5
47.0,12896.0,4.3,1.5,42.4
53.0,14830.0,13.5,3.9,79.1
52.0,5940.0,14.7,4.0,46.7
,18294.0,7.3,2.8,75.5
59.0,11046.0,2.6,0.9,36.8
40.0,19634.0,6.9,3.2,76.5
35.0,3318.0,7.7,4.8,32.7
64.0,14624.0,6.7,4.5,59.8
59.0,6000.0,11.4,1.7,37.9
57.0,11777.0,3.1,1.7,41.7
45.0,17977.0,9.4,4.0,76.3
20.0,3962.0,14.2,4.9,42.2
29.0,3810.0,11.5,2.2,39.1
44.0,16127.0,7.9,4.1,70.1
32.0,15168.0,0.5,1.2,39.6
45.0,16147.0,9.3,2.6,59.1
39.0,18534.0,1.7,1.9,59.5
20.0,19234.0,1.5,1.7,55.2
31.0,11545.0,4.3,4.9,57.7
60.0,12631.0,12.9,0.7,55.6
55.0,4592.0,7.4,0.8,30.8
45.0,7470.0,10.3,4.9,57.6
56.0,13607.0,2.1,2.7,46.9
43.0,10836.0,12.4,4.6,68.6
29.0,19411.0,0.3,0.8,48.5
55.0,3596.0,7.0,4.1,42.6
33.0,18464.0,1.7,2.6,54.5
22.0,15238.0,7.9,3.0,69.7
63.0,5567.0,10.2,2.3,40.2
57.0,,9.9,1.6,25.2
32.0,6952.0,10.4,0.8,45.7
32.0,6959.0,14.5,4.7,57.5
48.0,2636.0,12.1,2.7,40.6
40.0,10471.0,8.8,4.0,56.7
53.0,12461.0,4.8,3.9,61.9
47.0,16411.0,0.4,3.6,45.1
62.0,17461.0,14.8,4.1,85.4
49.0,1800.0,10.1,2.4,24.5
27.0,18523.0,5.0,1.8,57.7
50.0,16549.0,9.0,4.8,74.0
45.0,8866.0,11.7,4.4,54.4
60.0,9904.0,4.1,2.7,43.7
41.0,5497.0,14.9,4.4,51.3
53.0,1643.0,3.6,4.0,21.6
56.0,19054.0,1.9,1.1,60.7
35.0,6854.0,12.6,1.7,47.1
60.0,7377.0,6.8,1.4,48.3
49.0,4988.0,14.7,1.1,40.7
43.0,17348.0,10.0,1.1,64.0
38.0,5643.0,1.7,2.9,24.2
57.0,3936.0,7.0,0.8,20.8
64.0,12024.0,6.7,1.7,53.4
23.0,13969.0,12.3,3.4,66.4
23.0,2649.0,9.9,1.2,41.3
62.0,16531.0,0.7,3.3,58.8
25.0,13692.0,4.7,2.8,51.5
62.0,5307.0,7.9,2.9,44.7
56.0,6584.0,0.5,1.7,28.2
44.0,8304.0,0.6,0.6,19.8
56.0,8964.0,7.6,0.7,42.9
32.0,15374.0,7.8,1.5,60.8
59.0,4767.0,2.2,1.5,18.7
60.0,1678.0,11.2,3.9,36.4
23.0,5255.0,0.9,2.1,17.5
60.0,7778.0,4.7,4.1,39.0
61.0,1807.0,,4.7,35.8
25.0,8418.0,7.0,2.1,39.2
43.0,,2.0,3.5,46.0
43.0,16722.0,2.8,3.4,54.1
46.0,15029.0,1.9,2.1,46.2
35.0,18417.0,14.8,15.0,78.1
43.0,7975.0,8.5,2.9,44.3
45.0,3178.0,12.0,3.2,41.4
18.0,16905.0,9.8,1.2,68.4
63.0,17996.0,4.5,2.0,58.5
20.0,15244.0,10.0,4.0,74.4
20.0,9273.0,4.5,3.5,40.4
58.0,4719.0,1.7,3.0,25.0
63.0,12280.0,4.7,2.9,48.3
49.0,14613.0,10.3,,65.9
35.0,8610.0,8.1,3.0,47.9
58.0,15342.0,10.0,3.2,75.3
62.0,18981.0,7.5,2.7,73.2
20.0,4748.0,13.3,1.6,41.6
27.0,19272.0,13.8,3.5,80.8
23.0,1362.0,6.8,3.8,26.0
39.0,15687.0,8.5,3.2,75.9
36.0,11712.0,3.3,3.3,58.6
31.0,15121.0,5.7,3.1,63.2
37.0,2962.0,7.6,1.5,31.1
52.0,9301.0,11.4,1.0,49.0
42.0,8287.0,8.6,2.9,50.3
27.0,13875.0,9.1,4.7,77.1
52.0,15908.0,10.5,1.0,65.0
30.0,11107.0,0.5,2.2,37.3
50.0,4512.0,7.5,3.1,34.1
48.0,4407.0,7.8,3.9,33.8
54.0,16577.0,13.7,2.4,79.2
37.0,7787.0,8.3,3.7,48.4
33.0,18009.0,14.3,1.2,82.0
33.0,3487.0,9.0,3.6,43.5
25.0,3910.0,5.7,2.7,15.6
57.0,14297.0,10.5,1.6,63.9
26.0,3304.0,10.7,1.1,34.5
45.0,5356.0,11.3,4.2,48.5
27.0,12459.0,4.0,4.3,56.7
42.0,2594.0,1.4,1.6,8.7
48.0,9309.0,10.2,4.9,63.8
32.0,-100.0,7.7,3.0,23.6
49.0,16425.0,5.4,1.0,54.7
30.0,13897.0,13.9,3.2,74.3
40.0,10516.0,6.3,3.1,47.3
32.0,19009.0,1.8,4.1,63.4
57.0,18001.0,0.7,1.6,46.1
32.0,13170.0,9.5,3.9,58.3
63.0,15558.0,13.1,3.2,67.4
57.0,13268.0,8.1,2.2,62.9
63.0,9490.0,12.4,4.0,59.3
,14291.0,6.4,4.7,57.0
19.0,18514.0,5.5,3.0,72.6
48.0,11773.0,0.1,1.1,38.2
47.0,14752.0,0.3,1.8,41.0
41.0,12425.0,4.0,5.0,49.7
36.0,6449.0,12.5,1.3,46.2
47.0,7826.0,8.1,2.6,37.5
61.0,18307.0,0.2,4.2,51.5
53.0,16057.0,0.6,3.4,40.6
,9146.0,12.1,1.1,55.3
57.0,14613.0,13.6,2.4,60.6
37.0,14589.0,1.0,3.3,46.9
39.0,9090.0,11.0,0.9,38.8
26.0,4628.0,5.8,1.9,31.1
34.0,8974.0,14.7,0.9,43.1
18.0,7179.0,7.7,4.8,50.7
40.0,5967.0,4.0,2.6,27.3
57.0,16347.0,13.4,3.0,80.2
58.0,2228.0,8.7,0.5,28.1
45.0,15782.0,12.1,1.5,69.1
37.0,1899.0,3.4,2.8,11.3
22.0,19337.0,3.9,1.7,60.5
41.0,15694.0,6.6,1.2,53.8
45.0,19789.0,8.7,2.9,76.9
22.0,6993.0,8.3,2.3,33.7
30.0,1486.0,1.1,3.6,9.9
30.0,11092.0,4.6,5.0,50.0
33.0,14744.0,7.4,2.5,54.8
25.0,6186.0,10.4,1.1,25.8
33.0,16359.0,9.1,3.1,69.0
25.0,8856.0,14.2,2.2,53.1
18.0,6623.0,0.0,1.9,20.6
64.0,18802.0,6.3,1.5,59.2
33.0,1325.0,9.7,1.4,22.8
57.0,19155.0,13.5,4.1,90.0
41.0,9221.0,10.5,2.4,53.5
41.0,4865.0,4.1,1.6,26.9
36.0,19710.0,14.3,3.1,86.4
45.0,3210.0,7.5,2.6,32.8
19.0,12837.0,0.2,0.9,30.5
28.0,18986.0,7.6,3.6,76.8
61.0,19765.0,10.4,3.4,77.6
43.0,11093.0,3.3,2.0,42.4
48.0,5298.0,0.3,2.3,18.7
28.0,3978.0,3.2,2.8,23.8
60.0,5977.0,8.2,1.7,38.2
20.0,11510.0,8.7,5.0,56.2
33.0,4249.0,3.4,0.7,16.6
50.0,3427.0,0.1,4.3,27.8
64.0,12790.0,2.6,3.0,45.2
33.0,11042.0,10.3,1.7,48.1
58.0,5666.0,3.7,4.8,32.8
49.0,11331.0,2.0,2.7,44.8
21.0,2120.0,4.0,4.1,26.4
21.0,2374.0,7.0,4.8,39.4
64.0,4359.0,7.1,4.0,29.5
46.0,7961.0,0.9,0.8,28.9
38.0,13831.0,5.5,1.0,42.0
56.0,4345.0,10.3,,30.7
37.0,1938.0,2.0,2.9,18.3
26.0,15242.0,9.1,3.9,62.2
64.0,16071.0,13.9,3.9,76.9
54.0,1567.0,4.6,4.4,30.2
46.0,10367.0,7.9,4.8,47.2
43.0,2543.0,11.7,2.3,41.6
28.0,15368.0,11.8,0.8,60.1
29.0,6592.0,3.9,1.5,37.9
33.0,18328.0,7.7,1.6,58.1
26.0,6882.0,4.8,1.6,26.6
40.0,15066.0,0.6,2.4,53.4
28.0,2575.0,11.0,0.8,34.1
49.0,10045.0,5.2,2.7,40.9
30.0,6027.0,2.9,1.2,25.7
33.0,16167.0,0.7,,60.5
55.0,19546.0,7.7,1.9,71.2
60.0,16553.0,1.6,1.7,50.7
64.0,13031.0,10.0,1.0,56.2
64.0,1220.0,3.9,2.3,29.4
34.0,4331.0,10.2,0.7,33.6
46.0,13582.0,6.2,0.6,40.0
56.0,19490.0,7.7,2.7,70.3
35.0,5491.0,14.3,2.1,49.3
59.0,8206.0,4.4,2.0,35.7
47.0,13742.0,3.2,1.0,46.9
27.0,-100.0,6.3,4.2,48.3
34.0,14200.0,10.9,2.4,60.7
47.0,6985.0,2.8,3.7,28.7
24.0,2842.0,7.7,4.8,41.3
24.0,1841.0,13.5,0.6,24.4
18.0,4734.0,10.8,2.9,42.3
,17516.0,4.7,4.9,63.5
37.0,16816.0,3.7,0.6,54.9
30.0,6296.0,12.6,3.5,50.9
63.0,16190.0,5.3,3.9,59.2
57.0,14436.0,5.7,1.1,50.9
63.0,1752.0,1.3,1.1,4.2
24.0,14973.0,14.2,2.1,70.6
26.0,11851.0,9.7,4.4,58.0
55.0,18956.0,13.1,3.0,79.5
64.0,6497.0,6.4,2.5,32.7
47.0,8579.0,14.9,4.5,60.1
61.0,17296.0,10.8,2.1,83.0
31.0,19366.0,9.0,3.7,74.3
20.0,9500.0,11.9,3.1,61.1
41.0,6229.0,0.2,2.8,30.0
38.0,2442.0,2.5,1.6,16.4
35.0,10583.0,2.9,4.8,40.6
52.0,16629.0,12.9,0.7,66.8
59.0,3244.0,0.1,1.5,8.6
27.0,8318.0,12.6,1.8,60.4
47.0,8128.0,6.2,1.2,37.8
53.0,18947.0,3.9,2.7,70.0
58.0,9011.0,1.8,3.5,34.7
27.0,9183.0,1.3,2.3,30.8
19.0,19672.0,7.0,3.3,74.5
27.0,11565.0,5.3,3.8,46.3
45.0,1840.0,4.6,4.0,22.7
,15788.0,1.1,1.6,44.9
54.0,12845.0,5.6,2.6,47.5
31.0,16676.0,0.9,4.8,57.9
26.0,9256.0,11.8,3.5,58.5
46.0,8391.0,0.2,2.0,26.3
59.0,2527.0,6.1,1.6,31.1
56.0,13554.0,9.4,1.4,56.0
23.0,15724.0,1.8,4.8,57.8
55.0,1144.0,5.0,4.9,34.4
33.0,19927.0,5.5,1.3,60.9
52.0,9327.0,3.1,2.1,38.7
41.0,7859.0,6.1,0.8,32.9
26.0,3546.0,14.6,2.7,43.9
61.0,17683.0,12.0,2.6,81.0
37.0,2751.0,4.1,1.9,10.7
23.0,11126.0,13.5,0.7,48.0
55.0,11879.0,13.5,1.6,66.1
58.0,10067.0,8.2,5.0,51.7
42.0,14805.0,0.6,3.3,48.2
41.0,2663.0,2.8,4.6,19.0
53.0,5408.0,3.8,3.5,24.9
39.0,13077.0,5.1,3.9,49.5
64.0,2786.0,5.7,3.6,31.3
44.0,3533.0,8.9,3.5,29.9
39.0,19541.0,7.6,1.1,65.6
41.0,7328.0,1.1,1.7,17.7
28.0,16954.0,13.5,3.1,79.2
31.0,13680.0,2.5,4.0,60.2
52.0,2001.0,1.5,5.0,19.7
39.0,15921.0,13.5,3.4,76.8
20.0,13454.0,,4.8,61.8
23.0,2723.0,8.6,2.6,37.7
25.0,15372.0,2.7,2.2,50.8
50.0,16773.0,5.5,4.6,67.8
37.0,16922.0,2.2,1.6,51.6
56.0,,1.8,3.6,20.8
57.0,14338.0,14.0,3.3,76.4
57.0,19248.0,2.1,3.4,71.2
39.0,8459.0,11.8,2.9,55.0
52.0,10338.0,1.2,1.4,33.5
53.0,14285.0,10.2,3.4,68.8
52.0,10940.0,5.3,2.1,42.4
54.0,3337.0,4.4,1.0,24.3
50.0,13900.0,2.8,1.8,49.1
63.0,6443.0,14.8,4.1,62.6
32.0,8800.0,0.9,1.7,34.6
61.0,11817.0,12.9,1.7,60.8
41.0,6466.0,15.0,2.5,53.6
33.0,12232.0,,4.6,65.0
30.0,10510.0,9.8,4.7,57.7
36.0,7372.0,7.7,1.9,40.2
50.0,16399.0,8.0,2.4,64.3
41.0,11145.0,7.2,4.5,68.0
53.0,5014.0,5.6,0.9,25.1
54.0,9396.0,9.0,2.8,50.1
54.0,5143.0,5.7,3.0,38.2
44.0,16970.0,11.1,4.4,81.9
25.0,9366.0,13.2,0.5,46.4
22.0,9118.0,9.8,2.9,55.0
32.0,15792.0,8.0,2.3,57.2
52.0,12094.0,10.8,2.3,59.0
58.0,9078.0,15.0,1.2,58.6
33.0,2845.0,7.9,0.8,24.7
63.0,4593.0,12.8,2.6,50.6
21.0,7393.0,0.9,4.4,26.8
28.0,7683.0,11.7,3.9,57.9
60.0,15677.0,7.7,3.1,64.9
54.0,1303.0,6.5,3.3,23.1
56.0,10099.0,14.1,4.7,70.1
26.0,3935.0,1.9,3.0,25.4
43.0,17149.0,4.7,4.5,62.5
59.0,9970.0,0.7,4.6,43.7
19.0,15932.0,13.9,2.8,78.7
54.0,10283.0,14.0,2.1,67.3
56.0,4683.0,1.7,3.0,22.5
22.0,7309.0,12.2,2.8,53.4
28.0,14930.0,3.4,1.9,50.1
18.0,4283.0,8.3,2.2,34.2
47.0,10942.0,14.8,3.0,74.1
46.0,14083.0,11.5,2.6,65.4
52.0,5233.0,14.9,1.8,53.2
29.0,7539.0,2.7,3.8,30.2
25.0,8418.0,7.0,2.1,39.2
35.0,1421.0,10.8,4.8,31.4
42.0,5649.0,5.6,3.9,36.9
26.0,18708.0,3.9,0.5,60.1
59.0,11520.0,4.6,4.2,52.5
52.0,2319.0,2.4,0.9,12.5
35.0,13290.0,6.7,4.5,61.8
36.0,9904.0,6.9,2.6,56.1
,19174.0,8.2,2.8,73.7
23.0,1113.0,8.8,3.0,19.4
38.0,11035.0,10.6,0.7,55.0
45.0,18073.0,14.6,1.2,84.9
55.0,4872.0,9.0,2.9,39.6
61.0,11406.0,3.4,4.1,46.8
64.0,3227.0,14.6,5.0,44.4
30.0,1313.0,2.3,2.8,10.3
43.0,4844.0,5.5,4.4,34.2
25.0,15824.0,3.0,4.2,58.3
42.0,12184.0,9.1,3.6,64.8
64.0,2775.0,9.3,0.7,31.7
62.0,12530.0,4.0,3.4,45.5
46.0,16896.0,11.8,2.8,67.2
40.0,15071.0,6.6,0.8,57.7
58.0,2117.0,7.1,3.5,28.5
33.0,10349.0,6.9,4.9,58.3
39.0,6094.0,0.2,2.0,24.3
52.0,18635.0,14.1,1.9,79.8
52.0,5194.0,5.4,2.2,28.0
44.0,17953.0,2.6,3.0,62.6
39.0,12750.0,5.1,3.7,53.3
23.0,5076.0,9.0,3.7,36.9
54.0,9657.0,8.9,1.7,51.3
20.0,12935.0,1.4,1.2,34.0
41.0,9225.0,8.0,1.1,41.6
54.0,17511.0,1.8,4.4,55.1
